level_0,index,id,name,start_date,distance,elapsed_time,moving_time,average_speed,max_speed,average_cadence,average_watts,average_heartrate,max_heartrate,calories,commute,has_heartrate,total_elevation_gain,achievement_count,date_pulled,distance_mean,moving_time_mean,average_speed_mean,max_speed_mean,average_watts_mean,average_heartrate_mean,max_heartrate_mean,total_elevation_gain_mean,distance_rel_effort,moving_time_rel_effort,average_speed_rel_effort,max_speed_rel_effort,average_watts_rel_effort,average_heartrate_rel_effort,max_heartrate_rel_effort,total_elevation_gain_rel_effort,painmeter
312,1,2772523893,Morning Commute: 10/8/2019,2019-10-08 13:23:35+00:00,2.35,684,618,13.674414220000005,24.158952000000006,,76.6,,,,True,False,25.262468,0,04/20/2020 08:45:09 PM ET,4.40271698113207,1188.3207547169811,13.442439321358492,25.111972852830192,95.92,128.56666666666666,153.96244131455398,168.6376521056603,0.5337613137685142,0.5200616058811388,1.017256905022657,0.9620491445090592,0.7985821517931609,,,0.1498032478783074,0.6635857281421397
313,1,2773920372,Evening Commute: 10/8/2019,2019-10-08 22:36:38+00:00,3.05,1303,1207,9.09092416,17.671826000000006,,73.9,,,,True,False,137.467196,0,04/20/2020 08:45:09 PM ET,4.397631578947363,1188.390977443609,13.426080241804515,25.08400237593985,95.83721804511279,128.56666666666666,153.96244131455398,168.52046993984953,0.693555143318773,1.0156590069342513,0.6771093272401109,0.7045058334450854,0.7710991774115727,,,0.8157299587941248,0.779609741190653
314,1,2775300603,Morning Commute: 10/9/2019,2019-10-09 13:05:44+00:00,2.38,1016,838,10.20939416,23.040482000000004,,46.1,,,,True,False,0.0,0,04/20/2020 08:45:09 PM ET,4.390074906367036,1187.0786516853932,13.414032728389516,25.076348741573035,95.650936329588,128.56666666666666,153.96244131455398,167.88930713108607,0.5421319796954321,0.7059346900141978,0.7610980505804786,0.9188132705222012,0.4819607812426583,,,0.0,0.568323128675828
315,1,2776581420,Evening Commute: 10/9/2019,2019-10-09 23:34:46+00:00,7.09,1735,1696,15.05908008,27.514362,,146.3,,,,True,False,367.125996,2,04/20/2020 08:45:09 PM ET,4.400149253731337,1188.9776119402984,13.420170964776123,25.085445805970153,95.83992537313432,128.56666666666666,153.96244131455398,168.63272761194023,1.6113089786642267,1.426435605656434,1.1221228194130697,1.0968257137153121,1.526503692802442,,,2.1770744101633404,1.4933785367358041
316,1,2777760010,Morning Commute: 10/10/2019,2019-10-10 13:24:43+00:00,3.70,942,829,16.0612292,30.646078000000003,,123.9,,,,True,False,93.832024,0,04/20/2020 08:45:09 PM ET,4.397546468401481,1187.639405204461,13.429989025130116,25.106117301115244,95.94423791821562,128.56666666666666,153.96244131455398,168.35465808178432,0.8413782609430751,0.6980233195085688,1.1959227345566943,1.2206617866251532,1.2913751017087063,,,0.5573473586600599,0.9674514270003763
317,1,2778944621,Evening Commute (race against a flat tire): 10/10/2019,2019-10-10 22:19:28+00:00,2.55,968,852,10.76639222,29.08022,,114.3,,,,True,False,154.19948,0,04/20/2020 08:45:09 PM ET,4.390703703703698,1186.3962962962962,13.420123851777781,25.1208362,96.01222222222222,128.56666666666666,153.96244131455398,168.30223149629626,0.5807725075707099,0.7181411495128416,0.8022572920274326,1.157613535173642,1.190473435095069,,,0.9162057961387956,0.8942439525864151
318,1,2780088270,Morning Commute: 10/11/2019,2019-10-11 12:52:50+00:00,3.77,961,891,15.21790282,31.317159999999998,,132.9,,,,True,False,118.11023999999999,2,04/20/2020 08:45:09 PM ET,4.388413284132835,1185.3062730627307,13.426757722509228,25.143700863468634,96.14833948339484,128.56666666666666,153.96244131455398,168.1170211955719,0.8590804365740051,0.7517044499374256,1.133401163148123,1.245527067397656,1.3822391599696042,,,0.7025477798741234,1.0124166761501563
319,1,2781069229,Evening Commute (making up for a slow week): 10/11/2019,2019-10-11 20:49:22+00:00,17.36,4890,4398,14.20680594,32.659324,,132.6,,,,True,False,585.958024,15,04/20/2020 08:45:09 PM ET,4.436102941176465,1197.1176470588234,13.429625546838238,25.17133183088235,96.28235294117647,128.56666666666666,153.96244131455398,169.65320135294112,3.9133447149889826,3.673824382094246,1.05787059292541,1.2974809684059203,1.377199413489736,,,3.4538577482012354,2.4622629700175884
321,1,2783821492,Soccer,2019-10-12 17:41:46+00:00,6.27,14532,3221,7.0128069,25.501116000000003,,63.0,,,,True,False,181.430452,2,04/20/2020 08:45:09 PM ET,4.442820512820506,1204.5311355311355,13.40612071663004,25.172539831501833,96.16043956043956,128.56666666666666,153.96244131455398,169.6963414652014,1.4112656547584714,2.6740695238066277,0.5231048599540615,1.0130529605156082,0.6551550750805659,,,1.069147693070359,1.224299294530949
324,1,2790736080,Morning Commute: 10/15/2019,2019-10-15 13:27:53+00:00,2.36,1259,822,10.35032138,23.040482000000004,,52.2,,,,True,False,24.278216,0,04/20/2020 08:45:09 PM ET,4.435218978102183,1203.1350364963503,13.394968164306572,25.16475859854015,96.0,128.56666666666666,153.96244131455398,169.165618379562,0.532104505245835,0.68321507982491,0.7727022007846491,0.9155852582403322,0.5437500000000001,,,0.14351743712795254,0.5984790802039465
325,1,2792322604,Evening Commute: 10/15/2019,2019-10-15 21:40:20+00:00,7.96,14228,2335,12.269615900000002,28.409138000000002,,118.9,,,,True,False,498.68768,1,04/20/2020 08:45:09 PM ET,4.448036363636358,1207.250909090909,13.390875974254548,25.176556341818184,96.08327272727273,128.56666666666666,153.96244131455398,170.36388042181815,1.789553715224698,1.9341464002361488,0.9162668613755893,1.128396497689897,1.2374682567015733,,,2.927191366886323,1.655503849685705
326,1,2793289506,Morning Commute: 10/16/2019,2019-10-16 13:08:51+00:00,2.33,1215,937,8.963418579999997,18.566602000000003,,39.4,,,,True,False,0.0,0,04/20/2020 08:45:09 PM ET,4.440362318840573,1206.2717391304348,13.374834461956526,25.15260723188406,95.87789855072465,128.56666666666666,153.96244131455398,169.7466199855072,0.5247319548933539,0.7767735656937924,0.6701704313048217,0.7381581491267644,0.4109393363388669,,,0.0,0.5201289062262665
327,1,2794819078,Evening Commute: 10/16/2019,2019-10-16 21:45:53+00:00,8.89,15434,2488,12.864641940000002,27.514362,,119.9,,,,True,False,439.30447599999997,2,04/20/2020 08:45:09 PM ET,4.456425992779777,1210.898916967509,13.372992611696755,25.161133422382672,95.96462093862817,128.56666666666666,153.96244131455398,170.71975303971115,1.9948721272166132,2.0546719178102615,0.9619867679241726,1.0935263343710881,1.2494187839983146,,,2.5732492472491644,1.6546208630949357
328,1,2795877519,Morning Commute: 10/16/2019,2019-10-17 13:29:03+00:00,2.37,849,670,12.75503188,26.619585999999998,,77.1,,,,True,False,24.278216,0,04/20/2020 08:45:09 PM ET,4.448920863309346,1208.953237410072,13.370769731366911,25.16637965467626,95.89676258992807,128.56666666666666,153.96244131455398,170.19298492086327,0.5327134540750331,0.5541984414842497,0.953948960027153,1.057743957027753,0.8039896021275875,,,0.14265109699608913,0.6742075852896443
329,1,2796941099,Evening Commute: 10/17/2019,2019-10-17 21:58:44+00:00,7.09,1914,1813,14.07930036,26.84328,,144.0,,,,True,False,365.81366,0,04/20/2020 08:45:09 PM ET,4.458387096774187,1211.1182795698924,13.373309267670255,25.172390050179214,96.06917562724016,128.56666666666666,153.96244131455398,170.89413429390677,1.5902611967296167,1.4969636166699223,1.0527910540464704,1.0663778825328067,1.4989199091156684,,,2.1405864017009923,1.4743166767992462
330,1,2798148002,Evening Commute: 10/18/2019,2019-10-18 13:25:25+00:00,2.35,753,656,12.87135276,27.290668,,76.6,,,,True,False,24.6063,0,04/20/2020 08:45:09 PM ET,4.450857142857136,1209.1357142857144,13.371516565857148,25.179955328571427,95.99964285714286,128.56666666666666,153.96244131455398,170.3716777428571,0.5279881884709213,0.542536286249328,0.9625948333239727,1.0838251158068406,0.79791963511769,,,0.14442717431672197,0.6765485388809124
331,1,2799425823,Spooky Evening Commute: 10/18/2019,2019-10-18 21:13:10+00:00,28.52,22924,7407,13.86008024,27.514362,,118.1,,,,True,False,888.1233880000001,1,04/20/2020 08:45:09 PM ET,4.536512455516007,1231.1921708185052,13.373255226619222,25.188262825622775,96.07829181494662,128.56666666666666,153.96244131455398,172.9259542918149,6.286767705293555,6.0161201277585885,1.0364028806099328,1.0923485351284725,1.2292058671012667,,,5.135859400846676,3.466117419456415
332,1,2801375599,Feeling Artsy,2019-10-19 18:14:28+00:00,2.00,2035,747,9.630026699999998,20.356154,,74.1,,,,True,False,75.131236,0,04/20/2020 08:45:09 PM ET,4.527517730496447,1229.4751773049645,13.359981366595749,25.17112768794326,96.00035460992908,128.56666666666666,153.96244131455398,172.57916451063826,0.4417431623797745,0.6075763169431689,0.7208113870636199,0.8087104500189084,0.7718721488174172,,,0.43534360716741505,0.6310095120650506
334,1,2805850846,Morning Commute: 10/21/2019,2019-10-21 13:32:30+00:00,2.31,686,658,12.643184880000002,25.948504,,71.4,,,,True,False,10.170603999999999,0,04/20/2020 08:45:09 PM ET,4.519681978798579,1227.4558303886927,13.357448516819792,25.173874600706714,95.91342756183745,128.56666666666666,153.96244131455398,172.00528267137804,0.5110979070731086,0.5360681693871088,0.9465269406862856,1.0307711630243657,0.7444213163372447,,,0.059129602545006044,0.6380025165088533
335,1,2806945395,Evening Commute: 10/21/2019,2019-10-21 22:05:08+00:00,4.21,1087,1055,14.36562868,23.040482000000004,,145.1,,,,True,False,214.238852,1,04/20/2020 08:45:09 PM ET,4.518591549295768,1226.8485915492959,13.360998446971836,25.16636265492958,96.08661971830985,128.56666666666666,153.96244131455398,172.15399242253517,0.9317062527273875,0.8599268135179737,1.0751912543823292,0.9155269005664926,1.5100957909163535,,,1.244460549449075,1.0894845935932687
336,1,2808286954,Morning Commute: 10/22/2019,2019-10-22 13:34:55+00:00,2.39,680,604,14.273914140000002,48.31790400000001,,85.9,,,,True,False,24.6063,0,04/20/2020 08:45:09 PM ET,4.511122807017537,1224.6631578947367,13.36420165992983,25.247596133333335,96.05087719298245,128.56666666666666,153.96244131455398,171.6362812210526,0.5298015820544939,0.49319684037716066,1.0680708435280337,1.9137625516834027,0.8943177044329578,,,0.1433630455341154,0.8404187612683608
337,1,2809573764,Evening Commute: 10/22/2019,2019-10-22 22:24:16+00:00,7.82,1998,1884,14.9427592,27.96175,,143.7,,,,True,False,427.165368,1,04/20/2020 08:45:09 PM ET,4.5226923076923,1226.9685314685314,13.369721091888119,25.257086181818185,96.21748251748252,128.56666666666666,153.96244131455398,172.52973956643353,1.7290585934178107,1.5354917030717017,1.1176567631666077,1.1070853462157808,1.4934915801178854,,,2.4758941216364474,1.576446351271039
338,1,2810885709,Morning Commute: 10/23/2019,2019-10-23 13:30:28+00:00,2.38,724,547,15.64515836,31.764547999999998,,122.9,,,,True,False,25.262468,1,04/20/2020 08:45:09 PM ET,4.515226480836231,1224.5993031358885,13.377649444738681,25.279760264808367,96.31045296167248,128.56666666666666,153.96244131455398,172.01661318466896,0.5271053423568729,0.44667671996813296,1.1694998007406383,1.2565209348214834,1.2760816320623998,,,0.146860628937505,0.8037908431478388
339,1,2812134308,Evening Commute: 10/23/2019,2019-10-23 22:11:49+00:00,7.92,2043,1973,14.45510628,30.869772000000005,,146.7,,,,True,False,429.13387200000005,0,04/20/2020 08:45:09 PM ET,4.527048611111105,1227.1979166666667,13.381390614305563,25.29917002777778,96.48541666666668,128.56666666666666,153.96244131455398,172.90938144444442,1.7494841960745238,1.6077276315454414,1.080239468127219,1.220189119489132,1.520437026320903,,,2.4818426184578093,1.6099866766691713
340,1,2812419841,Cat food,2019-10-24 01:34:31+00:00,1.14,1109,382,10.7596814,23.264176000000006,,89.9,,,,True,False,36.745408000000005,0,04/20/2020 08:45:09 PM ET,4.515328719723177,1224.273356401384,13.372318956124573,25.29212852595156,96.46262975778548,128.56666666666666,153.96244131455398,172.4382258269896,0.25247331274474527,0.3120218193123525,0.8046234490295361,0.9198188272738402,0.9319671278477062,,,0.2130931690103756,0.5723329508697593
341,1,2813393583,Evening Commute: 10/24/2019,2019-10-24 13:24:35+00:00,2.36,796,674,12.60291996,29.08022,,76.0,,,,True,False,23.950132,0,04/20/2020 08:45:09 PM ET,4.507896551724132,1222.3758620689655,13.369665856137937,25.30519091034483,96.39206896551725,128.56666666666666,153.96244131455398,171.92619791724135,0.5235257670448032,0.5513852333922915,0.9426503321482841,1.1491800280436504,0.7884466099299913,,,0.13930472662187685,0.6824154495301494
342,1,2814461889,Evening Commute: 10/24/2019,2019-10-24 21:23:50+00:00,4.20,1170,1087,13.9025821,27.290668,,149.6,,,,True,False,221.784784,1,04/20/2020 08:45:09 PM ET,4.5068384879725025,1221.910652920962,13.371497183436432,25.312013855670102,96.57491408934709,128.56666666666666,153.96244131455398,172.09753326460478,0.9319171324219031,0.8895904110513646,1.0397176852582697,1.0781705539358601,1.549056516494504,,,1.2887156474172101,1.1295279910965188
343,1,2815775054,Morning Commute: 10/25/2019,2019-10-25 12:39:41+00:00,2.42,784,695,12.55370728,25.053728,,78.6,,,,True,False,25.262468,0,04/20/2020 08:45:09 PM ET,4.4996917808219115,1220.1061643835617,13.368696533082197,25.311129315068495,96.51335616438357,128.56666666666666,153.96244131455398,171.59467345205476,0.5378146143952028,0.5696225625998187,0.939037493216678,0.9898305084745762,0.8143950549820983,,,0.14722174932229806,0.6663203304984454
